YEAR,ALA,WNA,ACN,ACS,GRL,ISL,SJM,SCA,RUA,ASN,CEU,CAU,ASC,ASW,ASE,TRP,SA,NZL,ANT
1996,-1.1003741855196000,0.2819094355974910,0.07208825526480820,-0.17999496670363600,0.6830322644253190,-1.0040838288348500,0.0003007622358228020,-0.4967349914256270,-0.0008190304867639360,-0.2352305160320220,-0.22031573895305800,-0.013313493486689700,0.04986646586685370,-0.17692808370407500,-0.15848902908664500,-0.6532024225367480,-1.6388207261757400,-0.31918572911999200,0.16096040482193900
1997,-1.7111299249394000,0.22102179235062400,0.03839998444655910,-0.19042410529254500,0.26525565873645600,-1.0803167287679500,-0.12510080952217300,-0.45634378372661700,0.00546503471248505,-0.7240225710775050,-0.11097542733987600,0.31099693311038100,-0.9959164939049500,-1.382004615579870,-1.1097892155144600,0.13288946240154000,-2.66788368527247,-1.0433617945337700,-0.1279515110873980
1998,-0.4307903210996790,-1.6682448629146200,-0.22622846606162300,-0.49152436208164500,-0.5135448887371860,-1.1802163401509700,-0.5091040058047590,-0.10221355224294100,-0.38735631359736700,-0.8954576964067660,-1.4579639206855100,-1.1658553382940400,-0.11202692657469700,0.14913108377527200,-0.5403684608119540,-1.6675432924664800,1.11949411245332,1.6453246363926800,0.9379041664624600
1999,-0.6619275369465300,1.5484801745085400,-0.3105490781394710,-0.539727056340237,-0.1232735886304300,-0.7825985265101640,-0.14194527200846200,-0.3010008844269330,-0.05279286436576120,-0.39899803493307,-0.3925039782397140,-0.6026203719533400,-0.16340291282800700,0.035384317604167400,-0.6001886299556770,-0.12185319432146300,-3.968375150207520,-1.973213974652260,-0.5010599827259490
2000,0.11817650224650300,0.32722850196029100,-0.39141726925248600,-0.6363618821503230,-0.19333585887798200,-1.3184265912958500,0.12485670513584300,0.5739536680473410,0.16079434787050400,-0.3148790424600780,-0.4572579603678070,-1.0155064220110200,0.16755366410580300,0.30488506290408400,-0.1852219990120190,0.07378337154986300,-1.2069245825976900,-0.04548666252369220,-0.4195749642273360
2001,-0.33829221758263700,-1.1076070406256300,-0.1821908130829340,-0.43657780401676300,-0.32188003880280100,-0.8997737124199340,-0.3848635677789920,-0.9231611741861060,-0.34489209934831600,-0.5414112119186480,0.3572153554917570,-0.5978853912075250,-0.30480718788096600,-0.1303985091840150,-0.6589292579454940,0.0013098652847510200,0.9303836794871630,0.3682624169875270,0.09036279473679320
2002,-0.6818659183019630,0.008695350624257730,0.09054575144575080,-0.14542911183033800,0.14059361480866600,-0.8036579750174880,-0.16634795691776400,-1.258938119373980,-0.04000496976617300,-0.5387233082683340,-0.4110795589315030,0.43162366134604100,-0.16754601005946400,0.1250467469700490,-0.5327686366754240,-0.5456306879081010,-1.6141910853012400,-1.1017894810321200,-0.23819874251926200
2003,-0.9574868610057550,-1.1600707471063000,-0.1345307439988750,-0.3534694102476400,0.9854286910683950,-1.1797615340438400,-0.4555428453997980,-1.5311703178506500,-0.31249635352719900,-0.2645968962771370,-2.011573429274190,0.30353440982820800,0.12226963753559000,-0.45527281694695300,-0.16091934060865500,-0.700648690496382,0.0160690738431440,-0.6278889899370950,-0.29246095779082000
2004,-1.969270259736010,-1.4200675709713300,0.2048628768728180,-0.018050477933656200,-0.412685265301411,-1.3606997177146100,-0.6398446812777120,-0.39875069562121300,-0.47167131693135800,-0.3717656458834850,-0.6393147214785350,0.5727739586038570,-0.12245498960438600,-0.44336636857519600,-0.4397165937771010,-0.8868055472904530,-1.84544066227364,-1.7592565490497200,-0.01780497320762730
2005,-1.2037421234711700,-2.002997271651920,-0.318748285960279,-0.5177023685621960,-1.057212052611160,-1.2535607690711000,-0.4776286900065260,-0.047888280675250900,-0.32859216382280300,-0.2369021287660130,-0.9595929162564910,0.33549510859184800,0.04925820920641130,0.3025148133461830,-0.34227297804858800,-1.6031843051420400,-1.79990742074523,1.0065490196990500,-0.03427558127323110
2006,-0.4002160709500360,-0.8404108730364880,-0.09045338772956920,-0.33675008612255400,0.200285704515945,-0.9278311706788620,-0.22201049737819500,-1.9845244781519500,-0.10642385906978000,-0.5791151588413920,-1.1648236025136400,-0.6974912243200140,-0.5546976776024990,-0.894953557846887,-0.797420547034987,-0.34585146019879300,-0.0680752311972920,0.41329120798279500,-0.5701003335291320
2007,-0.3576102719622480,0.1152422546013310,-0.5830864347108980,-0.8166394946504440,-0.7913082113891540,-0.728470433313827,-0.13644008636560100,0.06467779172319160,-0.02637859716583590,-0.5908097967963140,-0.8829057283721610,-1.3066317619669000,-0.3578019817611720,-0.6098958003538590,-0.49268794023713900,-0.31426173560735900,-0.068133071300676,0.4657116456870060,-0.3489473149315750
2008,0.7707284448729970,0.29251856140781200,-0.6597730759015320,-0.8863430637042600,-0.22561314371672000,-0.914991506756276,0.1705192120300820,0.17573216744084000,0.2764390105116760,-1.014165607929380,-0.8837054730115920,-0.37867081598609800,-0.6048900430488110,-0.7362206206066900,-0.45126954677908500,0.8715186533717530,-0.63415087372086,-1.709655377875200,-0.0903852541492601
2009,-0.9484281482220110,-1.250778941686680,-0.474020089448833,-0.6867774206648490,-0.4109059107141560,-0.40214849292130200,-0.1836773223225170,-0.41659496293454800,-0.1257973949912890,0.252901655095513,-0.7373246176074230,-0.25598745401178300,0.386331693430835,0.49515670293914600,-0.31819466289047200,-0.7261259529371180,-0.0781973908878000,-0.8182040562695010,-0.33829638453117000
2010,-0.7140396969651700,0.2411999537100850,-0.31373058166845400,-0.5905317765219090,-1.0575008858327600,-2.6045419884220900,0.007678646865032260,-1.141744261236200,0.14211428386992200,-0.3253363512051110,-0.46166425177398600,-0.8179432174204670,-0.1454032878844860,0.449202990239451,-0.5326609520642250,-1.0876153666298000,-1.16418183742932,-0.12192285638070900,0.3706149539963380
2011,-1.044360282683950,1.0085743699697100,-0.919363144792289,-1.1590675584086200,-1.2540669602755000,-0.35347523125667800,-0.6526236806023300,-1.2186303282681300,-0.5369381424614880,-0.634841620976491,-1.2417041193846500,-0.6659040458321270,0.05894344437947350,0.1636438992834000,0.032480003175853900,-0.05212621716635140,-1.6165561100830200,-1.9393421421886800,0.157607232198076
2012,0.5783036802045010,0.3454818904463240,-0.843906406472385,-1.0953969115296900,-0.4794882965762570,-0.7930468586316190,-0.001352515136904030,0.570267478524774,0.09799443259915840,-1.0025755384814300,-1.2813359838522700,-1.2159170600822200,-0.3881239781121410,-0.3041136461195810,-0.8187424041665930,-0.04662238448657940,-2.7255466206864800,-0.657681322685152,-0.050244371179447900
2013,-1.4314223757702700,-1.315530478890250,0.14812187082542400,-0.10600854732318500,-0.5559409789051900,-0.5150361303881620,-0.7723059108930450,-1.2802803611113000,-0.6643364637320290,-0.591874270745328,-0.16053526005757800,-0.2605473042423190,-0.05376662681911530,-0.16440006325158100,-0.06405541667486010,-0.15278801169099000,-0.901776126001449,0.2539809701126700,0.1171878443791710
2014,-1.1130633613948900,-1.0952272885623100,-0.09732409226722650,-0.33120690495504000,0.0016207474820294600,-0.8341716572029920,0.03266160525499610,-1.0331594997371900,0.17100370882237200,-0.7487828896036840,-0.1000551429684880,-1.0450463650045600,-0.32515067965006000,-0.31163765762027100,-0.5553099536093980,-0.16514833628163300,-0.38756547706508700,0.08746291742037760,0.2741909111036120
2015,-1.2849856748560000,-2.4679688824171800,-0.660606547168518,-0.9259083949608760,0.36990213763643000,0.6746846481270480,-0.4372560018173220,0.6625915728257920,-0.3079747711957400,-0.8926509994652020,-1.4143057860386900,-0.9158927314467870,-0.30861139424209800,-0.18943075223222600,-0.46074989673907200,-0.22949996735635200,-1.84407799781551,0.13316006493552800,0.3342747643205330
2016,-1.0448355381927500,-0.864722590590307,-0.48058572019153100,-0.7609708899606190,-1.0384676693436000,-1.0464910971166500,-0.7954747925137570,-0.4566889321401220,-0.6976129338589360,-0.2571482646697830,-0.572220592066526,-0.748959534820245,0.11511699687073200,0.12353032338584000,-0.24243970532592100,-1.3313489787377100,-2.1926996395386000,-1.2950350600002200,-0.023350933205529900
2017,-1.2515133464860000,-0.24213626680022300,0.08910944601099940,-0.1817685574664,-0.20469456680362200,-0.4566003610808490,-0.38301972784264000,0.1505499766799000,-0.27509263681457600,-0.982381370683992,-1.4450113632427700,-0.730383581130142,-0.4343091644373510,-0.27035147787063400,-0.8550831333266010,-0.4821353753156400,-1.0203586747963200,0.11731687410028900,-0.37799341440810700
2018,-1.5437279598842000,-0.5902750956764670,0.16035041176238300,-0.08999826764006440,0.415973194769776,-0.12346050064638000,-0.5786055967805950,-1.5365734051663800,-0.4532152316551890,-0.5135472811651450,-1.2053114362783300,-0.34949591857405300,-0.2589893289038880,-0.055697263267859600,-0.9560291640828830,-0.0009921876825562600,-3.7786845033509,-2.1698231252290400,-0.3544484490374470
2019,-2.1042580165035000,-1.4547728904384000,-0.6252285192480860,-0.85178371988901,-1.2168112261486700,-1.3356909153784200,-0.4177596911617610,-0.8113465247272680,-0.2822130464715140,-0.4386165463132740,-0.8701924677938900,-0.6274030295616650,-0.33319504501037900,-0.1129124463755230,-0.7261471302501240,-0.4095344331884980,-2.65778212447203,-1.7991084848888600,0.13073553612685200
2020,-0.8338975934273670,-0.6191397034049040,-0.6019228984871870,-0.8717335225775040,-0.6417622958778320,-0.566279628474928,-1.366181293835370,0.3063913156094610,-1.2335842996278900,-0.6027058048353130,-0.5851673536819350,-1.2965506408977000,0.11609184680620600,0.2561828990071670,-0.44529381301693000,-0.6537987477120580,-3.0572469348716000,-1.3276835490927400,-0.8875073329571920
2021,-0.6121529548189870,-1.4707897669698700,0.018271251514025000,-0.22302342759435000,-0.7794070271654020,-1.341406039254680,-0.34540454864196500,-0.9809283943535030,-0.2092415426825500,-0.6542363724320200,-0.44263970753645400,-0.23049026184938800,-0.25012144053837200,-0.3219913125164040,-0.06469870614221860,0.04935802057737100,-1.77899991819592,-0.6213117578364850,-0.34207020860201500
2022,-0.9859828117525810,-0.771897897373585,-0.5091088775199660,-0.7955687987189730,-0.5393451069596640,-0.2078167781637860,-1.2232006646749200,-0.3468745589312860,-1.1135879648041500,-0.9365504461664320,-3.0568005910873100,-0.7632367263432330,-0.7580925831458010,-0.8323882712941610,-1.0478414411830500,-0.03859229879915330,-1.5934588743745000,-1.3025392606994100,-0.20108898341407700
2023,-1.2707024928419100,-2.4795906005564700,-0.5202357614076790,-0.795082156543119,-1.129542076118340,-1.1648017913545400,-0.6984636141698780,-1.1228828065897400,-0.5661419859495310,-0.8563225839653490,-2.154329401012600,-0.41905231502178000,-0.7913637636856270,-0.45020133095754100,-1.280996162278430,-0.9676649527478590,-1.85306113486036,-1.221435812505010,-0.9698389366247930
